Quantity,1C,2C,2C + 1C,2C + 2C,4C,4C + 1C,4C + 2C,4C + 4C
500,104,132,158,186,256,282,308,434
1000,146,174,200,228,298,324,350,476
1500,182,208,234,262,332,360,386,510
2000,218,244,270,298,368,396,422,546
2500,258,288,318,348,408,438,468,588
3000,296,330,362,396,442,476,510,624
3500,336,372,410,446,506,544,580,714
4000,374,414,454,496,542,582,622,750
4500,414,458,502,546,604,646,690,834
5000,452,500,546,594,638,684,732,870
5500,494,544,594,644,698,750,800,954
6000,532,586,638,692,734,788,842,990
6500,570,628,684,742,792,848,906,1070
7000,610,670,730,792,828,888,948,1106
7500,650,714,776,840,884,948,1012,1184
8000,690,756,822,890,920,988,1054,1220
8500,728,798,868,940,976,1046,1116,1294
9000,768,840,914,988,1012,1086,1158,1330
9500,806,884,960,1038,1066,1142,1220,1402
10000,846,926,1006,1086,1102,1182,1262,1436
