Quantity,1C,2C,2C + 1C,2C + 2C,4C,4C + 1C,4C + 2C,4C + 4C
500,104,132,158,186,256,282,308,432
1000,144,172,198,226,296,322,350,474
1500,180,208,234,260,330,358,384,508
2000,216,244,270,296,366,392,420,544
2500,256,286,316,346,406,436,466,586
3000,294,326,360,394,440,474,508,622
3500,332,368,406,442,504,540,576,710
4000,372,412,452,492,538,578,620,746
4500,410,454,496,540,598,642,686,830
5000,448,496,542,590,634,680,728,864
5500,488,538,588,640,694,744,794,950
6000,526,580,634,688,728,782,836,984
6500,566,622,680,736,786,842,900,1064
7000,604,664,724,784,820,882,942,1098
7500,644,708,770,834,878,942,1006,1178
8000,682,750,816,884,914,980,1048,1212
8500,720,792,862,932,970,1040,1110,1288
9000,760,834,908,980,1004,1078,1152,1322
9500,800,876,952,1030,1058,1136,1212,1394
10000,838,916,998,1078,1092,1172,1252,1428
