Model : JCF1 & JCF 2,260gsm + Matte Lamination(D),260gsm + Matte Lamination(S) + Front SpotUV(S),260gsm + Matte Lamination(D) + Front SpotUV(S),310gsm + Matte Lamination(D),310gsm + Matte Lamination(S) + Front SpotUV(S),310gsm + Matte Lamination(D) + Front SpotUV(S),360gsm + Matte Lamination(D),360gsm + Matte Lamination(S) + Front SpotUV(S),360gsm + Matte Lamination(D) + Front SpotUV(S)
Qty,4C + 4C,4C + 4C,4C + 4C,4C + 4C,4C + 4C,4C + 4C,4C + 4C,4C + 4C,4C + 4C
250,662,764,810,692,794,838,720,822,868
300,684,786,838,714,818,868,746,850,900
350,706,808,864,738,842,896,770,874,930
400,726,830,892,762,864,926,796,900,962
450,748,850,918,786,888,956,822,926,994
500,788,892,966,828,932,1006,868,972,1044
550,810,914,994,852,956,1036,894,998,1076
600,832,936,1022,876,980,1064,920,1024,1108
650,854,960,1050,900,1004,1094,946,1050,1140
700,876,980,1076,922,1026,1122,970,1074,1170
750,898,1002,1104,946,1050,1152,996,1100,1202
800,918,1024,1130,970,1074,1182,1022,1126,1234
850,960,1066,1178,1014,1118,1230,1068,1172,1286
900,982,1088,1206,1038,1144,1262,1092,1198,1316
950,1004,1110,1232,1062,1166,1290,1118,1224,1348
1000,1026,1132,1260,1086,1190,1320,1144,1248,1378
