BM-B,,,,,,,,,,,
Qty,260gsm + Matte Lamination,260gsm + Matte Lamination + SpotUV(S),310gsm + Matte Lamination,310gsm + Matte Lamination + SpotUV(S),250gsm Ivory White Card,240gsm Linen,240gsm Suwen,180micron Synthetic Paper,220gsm Brilliant White ,220gsm Vellum ,250gsm Metal Ice 
100,42,-,50,-,54,54,50,62,50,50,62
200,50,-,56,-,60,62,64,74,66,66,74
300,58,78,62,82,68,70,76,84,80,80,84
500,68,88,72,92,78,84,100,104,104,104,104
1000,104,124,102,122,108,126,164,156,174,174,156
2000,156,196,166,206,178,214,280,274,298,298,274
3000,214,274,230,290,248,302,396,394,424,424,394
4000,272,352,296,376,318,390,510,512,548,548,512
5000,330,430,360,460,388,476,626,630,672,672,630
10000,620,820,678,858,736,890,1178,1186,1264,1264,1186
20000,1068,1456,1180,1568,1292,1626,2164,2172,2336,2336,2172
