44mm Diameter,,
Qty,150gsm Art Paper(Gloss Lamination),150gsm Art Paper(Soft Touch Lamination)
10,52,54
20,56,60
30,60,64
40,64,70
50,70,76
60,78,84
70,84,88
80,88,94
90,92,100
100,100,106
150,124,132
200,152,162
250,180,192
300,210,222
350,240,256
400,268,286
450,300,318
500,328,348
550,358,378
600,386,410
650,416,440
700,446,472
750,474,502
800,502,532
850,534,566
900,562,596
950,590,626
1000,514,550
1500,706,760
2000,864,934
2500,1050,1136
3000,1234,1336
3500,1418,1538
4000,1602,1738
4500,1788,1940
5000,1972,2142
10000,3536,3872
