EV4090W 102mm x 229mm,,,,,,,,
Quantity,1C,2C,2C + 1C,2C + 2C,4C,4C + 1C,4C + 2C,4C + 4C
500,100,126,152,178,248,274,302,424
1000,136,162,188,214,284,312,338,460
1500,166,192,218,246,314,342,368,490
2000,196,222,250,276,346,372,398,522
2500,232,262,290,320,380,410,440,560
3000,264,298,330,364,410,444,476,590
3500,300,336,372,410,470,506,542,674
4000,334,374,414,452,500,540,580,704
4500,368,410,454,496,554,598,640,784
5000,402,448,494,542,586,632,678,814
5500,436,486,536,586,640,690,740,894
6000,470,524,576,630,672,726,778,926
6500,506,562,618,674,724,780,836,1000
7000,538,598,658,718,754,814,874,1030
7500,574,636,700,764,808,870,934,1104
8000,608,674,740,808,838,904,970,1134
8500,642,712,782,850,888,958,1028,1204
9000,676,750,822,896,920,992,1064,1236
9500,712,788,864,940,968,1044,1122,1302
10000,744,824,904,982,998,1078,1158,1332
