Quantity,1C,2C,2C + 1C,2C + 2C,4C,4C + 1C,4C + 2C,4C + 4C
500,102,128,154,180,252,278,304,428
1000,140,166,192,220,290,316,344,466
1500,172,198,226,252,322,350,376,498
2000,206,232,260,286,356,382,408,532
2500,244,272,302,332,392,422,452,572
3000,278,312,346,378,424,458,492,604
3500,316,352,388,424,484,522,558,692
4000,352,392,430,470,518,558,598,724
4500,388,430,474,518,576,618,662,806
5000,424,472,518,564,610,656,702,840
5500,462,512,562,612,666,716,766,920
6000,498,550,604,658,698,752,806,954
6500,534,592,648,704,754,812,866,1030
7000,570,630,690,750,788,846,906,1062
7500,606,670,734,796,840,904,966,1138
8000,644,710,776,844,874,940,1008,1172
8500,680,750,820,890,928,998,1068,1246
9000,716,790,862,936,960,1034,1106,1278
9500,752,830,906,982,1012,1088,1164,1346
10000,788,868,948,1030,1044,1124,1204,1378
