EV6390NW 162mm x 229mm (Fit A5 Size),,,,,,,,
Quantity,1C,2C,2C + 1C,2C + 2C,4C,4C + 1C,4C + 2C,4C + 4C
500,112,140,168,194,264,292,320,444
1000,160,188,216,244,314,342,368,494
1500,204,232,258,286,356,384,410,536
2000,246,274,302,328,398,426,454,578
2500,294,324,354,386,446,476,508,628
3000,338,374,408,442,488,522,556,672
3500,386,424,462,500,558,596,634,770
4000,432,474,514,556,602,642,684,812
4500,480,524,568,612,670,714,758,904
5000,526,574,620,668,712,760,808,946
5500,572,624,674,726,780,830,882,1038
6000,618,672,726,780,822,876,930,1080
6500,666,722,780,838,888,946,1002,1168
7000,710,772,832,894,930,990,1052,1210
7500,758,822,886,950,994,1058,1124,1296
8000,804,872,940,1006,1038,1104,1172,1338
8500,850,922,992,1064,1100,1172,1242,1422
9000,898,972,1046,1120,1144,1218,1292,1466
9500,944,1022,1100,1178,1206,1282,1360,1544
10000,990,1072,1152,1234,1248,1330,1410,1586
