Quantity,1C,2C,2C + 1C,2C + 2C,4C,4C + 1C,4C + 2C,4C + 4C
500,132,160,190,218,288,318,346,474
1000,198,226,254,284,354,384,412,540
1500,256,284,314,344,414,442,472,600
2000,316,346,374,404,474,502,532,660
2500,380,412,446,478,538,570,602,728
3000,444,480,516,550,598,634,668,786
3500,508,548,586,624,684,724,764,900
4000,572,614,656,698,746,788,830,960
4500,636,680,728,772,830,876,922,1070
5000,698,748,796,846,890,940,988,1130
5500,762,814,866,918,974,1026,1080,1238
6000,826,880,936,992,1034,1090,1146,1298
6500,890,948,1008,1068,1116,1176,1234,1402
7000,952,1016,1078,1140,1178,1238,1302,1464
7500,1018,1082,1148,1214,1258,1324,1390,1564
8000,1080,1150,1218,1288,1318,1388,1456,1624
8500,1146,1216,1290,1362,1400,1472,1544,1726
9000,1208,1282,1358,1434,1458,1534,1610,1784
9500,1272,1350,1430,1508,1536,1616,1694,1882
10000,1334,1418,1500,1582,1596,1678,1762,1940
