Quantity,1C,2C,2C + 1C,2C + 2C,4C,4C + 1C,4C + 2C,4C + 4C
500,98,124,150,176,246,272,298,420
1000,132,160,184,210,280,308,334,456
1500,160,186,214,240,308,336,362,484
2000,190,216,244,270,340,366,392,514
2500,222,252,282,312,372,402,430,550
3000,256,288,320,354,400,434,466,578
3500,288,324,360,396,456,494,528,662
4000,320,360,400,438,484,526,564,690
4500,354,396,440,482,540,582,626,770
5000,386,432,478,524,568,614,660,796
5500,420,468,518,568,622,672,722,876
6000,450,504,556,610,650,704,756,904
6500,484,540,596,652,702,758,814,976
7000,516,576,636,694,732,792,850,1006
7500,548,612,674,738,782,844,908,1076
8000,582,648,714,780,810,878,944,1106
8500,614,684,754,822,860,930,1000,1176
9000,646,718,792,864,888,962,1036,1204
9500,680,756,832,908,936,1012,1090,1270
10000,712,790,870,950,964,1044,1124,1298
