A3,,,,,,,
Qty,80gsm Simili (Single),80gsm Simili (Double),100gsm Simili (Single),Double,Single,Double,Single,Double,Single,Double
500,138,191,143,196,146,202,154,208,493,694
1000,174,228,186,243,190,253,203,262,932,1331
2000,232,295,256,324,261,330,290,358,1797,2592
4000,373,460,434,502,443,511,487,543,3545,5132
5000,460,542,526,616,547,624,604,668,4429,6412
8000,714,814,800,908,871,937,938,1030,7081,10252
10000,868,984,994,1099,1082,1162,1167,1214,8850,12812
12000,1013,1124,1164,1287,1271,1362,1372,1425,10594,15349
15000,1260,1396,1450,1598,1544,1650,1708,1772,13240,19182
20000,1582,1739,1807,1938,1923,2044,2119,2190,17651,25574
