A5,80gsm Simili,80gsm Simili,100gsm Simili,100gsm Simili,128gsm Art Paper,128gsm Art Paper,157gsm Art Paper,157gsm Art Paper,260gsm Art Card,260gsm Art Card
Qty,Single,Double,Single,Double,Single,Double,Single,Double,Single,Double
500,81,106,90,116,94,118,100,119,162,214
1000,106,136,117,144,120,146,128,150,284,385
2000,144,160,150,170,157,173,161,178,515,716
4000,183,210,195,213,199,232,212,244,876,1234
8000,288,319,324,346,333,352,348,368,1704,2294
10000,358,387,389,420,398,428,424,456,2021,2864
16000,545,588,595,642,610,648,641,685,3209,4558
20000,673,720,730,780,743,788,781,830,4034,5719
