Model : JCF4,260gsm + Matte Lamination(D),260gsm + Matte Lamination(S) + Front SpotUV(S),260gsm + Matte Lamination(D) + Front SpotUV(S),310gsm + Matte Lamination(D),310gsm + Matte Lamination(S) + Front SpotUV(S),310gsm + Matte Lamination(D) + Front SpotUV(S),360gsm + Matte Lamination(D),360gsm + Matte Lamination(S) + Front SpotUV(S),360gsm + Matte Lamination(D) + Front SpotUV(S)
Qty,4C + 4C,4C + 4C,4C + 4C,4C + 4C,4C + 4C,4C + 4C,4C + 4C,4C + 4C,4C + 4C
250,854,958,1006,884,986,1036,912,1016,1064
300,876,980,1036,908,1010,1066,940,1044,1098
350,900,1002,1064,932,1036,1098,966,1068,1130
400,922,1024,1094,958,1060,1128,992,1096,1164
450,944,1048,1122,982,1086,1160,1020,1124,1198
500,988,1092,1172,1028,1130,1212,1066,1170,1252
550,1010,1114,1202,1054,1156,1244,1094,1198,1286
600,1034,1138,1232,1076,1180,1274,1122,1226,1318
650,1056,1162,1260,1102,1208,1306,1148,1252,1352
700,1080,1184,1290,1126,1232,1338,1176,1280,1386
750,1102,1208,1320,1152,1256,1370,1202,1306,1420
800,1124,1230,1348,1176,1282,1400,1228,1334,1452
850,1168,1274,1398,1220,1326,1452,1276,1382,1506
900,1192,1298,1428,1248,1354,1484,1302,1410,1540
950,1214,1320,1458,1272,1378,1516,1330,1436,1574
1000,1236,1342,1486,1296,1402,1546,1356,1462,1606
