JCF6 (4C * 4C),,,,,,,,,
Qty,260gsm + Matte Lamination(D),260gsm + Matte Lamination(S) + Front SpotUV(S),260gsm + Matte Lamination(D) + Front SpotUV(S),310gsm + Matte Lamination(D),310gsm + Matte Lamination(S) + Front SpotUV(S),310gsm + Matte Lamination(D) + Front SpotUV(S),360gsm + Matte Lamination(D),360gsm + Matte Lamination(S) + Front SpotUV(S),360gsm + Matte Lamination(D) + Front SpotUV(S)
250,1122,1224,1292,1186,1290,1358,1250,1354,1422
300,1164,1268,1344,1232,1336,1414,1302,1406,1482
350,1206,1310,1396,1278,1384,1468,1352,1456,1542
400,1250,1354,1448,1326,1430,1524,1402,1508,1600
450,1292,1396,1498,1372,1476,1578,1452,1558,1658
500,1356,1460,1572,1438,1544,1654,1524,1628,1740
550,1396,1502,1622,1486,1590,1710,1574,1678,1798
600,1440,1546,1672,1532,1638,1764,1624,1730,1858
650,1482,1590,1724,1578,1684,1820,1672,1780,1916
700,1526,1632,1776,1624,1730,1876,1724,1830,1976
750,1568,1674,1828,1670,1778,1932,1774,1880,2034
800,1610,1718,1878,1718,1824,1986,1824,1932,1974
850,1674,1780,1950,1784,1890,2062,1894,2002,2048
900,1716,1824,2004,1830,1938,1998,1946,2054,2106
950,1758,1866,2054,1876,1986,2050,1994,1984,2160
1000,1800,1910,1986,1924,2032,2102,2046,2032,2216
